Class,Qnum,Qpic,Qans,Section
1,1,class__q_010.png,b,Logical Reasoning
1,2,class__q_011.png,c,Logical Reasoning
1,3,class__q_012.png,c,Logical Reasoning
1,4,class__q_013.png,a,Mathematical Reasoning
1,5,class__q_014.png,b,Mathematical Reasoning
1,6,class__q_015.png,d,Mathematical Reasoning
1,7,class__q_016.png,a,Everyday Mathematics
1,8,class__q_017.png,c,Everyday Mathematics
1,9,class__q_018.png,d,HOTS Section
1,10,class__q_019.png,b,HOTS Section
2,1,class__q_020.png,a,Logical Reasoning
2,2,class__q_021.png,b,Logical Reasoning
2,3,class__q_022.png,c,Logical Reasoning
2,4,class__q_023.png,a,Mathematical Reasoning
2,5,class__q_024.png,d,Mathematical Reasoning
2,6,class__q_025.png,b,Mathematical Reasoning
2,7,class__q_026.png,b,Everyday Mathematics
2,8,class__q_027.png,b,Everyday Mathematics
2,9,class__q_028.png,d,HOTS Section
2,10,class__q_029.png,c,HOTS Section
3,1,class__q_030.png,d,Logical Reasoning
3,2,class__q_031.png,b,Logical Reasoning
3,3,class__q_032.png,b,Logical Reasoning
3,4,class__q_033.png,a,Mathematical Reasoning
3,5,class__q_034.png,d,Mathematical Reasoning
3,6,class__q_035.png,c,Mathematical Reasoning
3,7,class__q_036.png,c,Everyday Mathematics
3,8,class__q_037.png,b,Everyday Mathematics
3,9,class__q_038.png,a,HOTS Section
3,10,class__q_039.png,d,HOTS Section
4,1,class__q_040.png,c,Logical Reasoning
4,2,class__q_041.png,c,Logical Reasoning
4,3,class__q_042.png,a,Logical Reasoning
4,4,class__q_043.png,b,Mathematical Reasoning
4,5,class__q_044.png,d,Mathematical Reasoning
4,6,class__q_045.png,b,Mathematical Reasoning
4,7,class__q_046.png,c,Everyday Mathematics
4,8,class__q_047.png,b,Everyday Mathematics
4,9,class__q_048.png,d,HOTS Section
4,10,class__q_049.png,d,HOTS Section
5,1,class__q_050.png,c,Logical Reasoning
5,2,class__q_051.png,a,Logical Reasoning
5,3,class__q_052.png,b,Logical Reasoning
5,4,class__q_053.png,a,Mathematical Reasoning
5,5,class__q_054.png,c,Mathematical Reasoning
5,6,class__q_055.png,b,Mathematical Reasoning
5,7,class__q_056.png,d,Everyday Mathematics
5,8,class__q_057.png,a,Everyday Mathematics
5,9,class__q_058.png,d,HOTS Section
5,10,class__q_059.png,c,HOTS Section
6,1,class__q_060.png,c,Logical Reasoning
6,2,class__q_061.png,b,Logical Reasoning
6,3,class__q_062.png,b,Logical Reasoning
6,4,class__q_063.png,b,Mathematical Reasoning
6,5,class__q_064.png,d,Mathematical Reasoning
6,6,class__q_065.png,d,Mathematical Reasoning
6,7,class__q_066.png,b,Everyday Mathematics
6,8,class__q_067.png,a,Everyday Mathematics
6,9,class__q_068.png,a,HOTS Section
6,10,class__q_069.png,c,HOTS Section
7,1,class__q_070.png,c,Logical Reasoning
7,2,class__q_071.png,c,Logical Reasoning
7,3,class__q_072.png,c,Logical Reasoning
7,4,class__q_073.png,b,Mathematical Reasoning
7,5,class__q_074.png,b,Mathematical Reasoning
7,6,class__q_075.png,d,Mathematical Reasoning
7,7,class__q_076.png,a,Everyday Mathematics
7,8,class__q_077.png,c,Everyday Mathematics
7,9,class__q_078.png,d,HOTS Section
7,10,class__q_079.png,c,HOTS Section
8,1,class__q_080.png,b,Logical Reasoning
8,2,class__q_081.png,d,Logical Reasoning
8,3,class__q_082.png,b,Logical Reasoning
8,4,class__q_083.png,c,Mathematical Reasoning
8,5,class__q_084.png,b,Mathematical Reasoning
8,6,class__q_085.png,c,Mathematical Reasoning
8,7,class__q_086.png,d,Everyday Mathematics
8,8,class__q_087.png,c,Everyday Mathematics
8,9,class__q_088.png,d,HOTS Section
8,10,class__q_089.png,a,HOTS Section
9,1,class__q_090.png,b,Logical Reasoning
9,2,class__q_091.png,b,Logical Reasoning
9,3,class__q_092.png,b,Logical Reasoning
9,4,class__q_093.png,b,Mathematical Reasoning
9,5,class__q_094.png,c,Mathematical Reasoning
9,6,class__q_095.png,c,Mathematical Reasoning
9,7,class__q_096.png,d,Everyday Mathematics
9,8,class__q_097.png,d,Everyday Mathematics
9,9,class__q_098.png,d,HOTS Section
9,10,class__q_099.png,a,HOTS Section
10,1,class__q_100.png,a,Logical Reasoning
10,2,class__q_101.png,c,Logical Reasoning
10,3,class__q_102.png,b,Logical Reasoning
10,4,class__q_103.png,b,Mathematical Reasoning
10,5,class__q_104.png,d,Mathematical Reasoning
10,6,class__q_105.png,a,Mathematical Reasoning
10,7,class__q_106.png,a,Everyday Mathematics
10,8,class__q_107.png,a,Everyday Mathematics
10,9,class__q_108.png,c,HOTS Section
10,10,class__q_109.png,a,HOTS Section
11,1,class__q_110.png,d,Logical Reasoning
11,2,class__q_111.png,a,Logical Reasoning
11,3,class__q_112.png,b,Logical Reasoning
11,4,class__q_113.png,d,Mathematical Reasoning
11,5,class__q_114.png,c,Mathematical Reasoning
11,6,class__q_115.png,c,Mathematical Reasoning
11,7,class__q_116.png,d,Everyday Mathematics
11,8,class__q_117.png,b,Everyday Mathematics
11,9,class__q_118.png,c,HOTS Section
11,10,class__q_119.png,b,HOTS Section
12,1,class__q_120.png,c,Logical Reasoning
12,2,class__q_121.png,c,Logical Reasoning
12,3,class__q_122.png,b,Logical Reasoning
12,4,class__q_123.png,a,Mathematical Reasoning
12,5,class__q_124.png,c,Mathematical Reasoning
12,6,class__q_125.png,b,Mathematical Reasoning
12,7,class__q_126.png,d,Everyday Mathematics
12,8,class__q_127.png,d,Everyday Mathematics
12,9,class__q_128.png,c,HOTS Section
12,10,class__q_129.png,c,HOTS Section
